8346,6982,0
4270,1363,0
2635,8074,0
7784,2672,0
1942,6159,0
2218,6638,0
4291,9747,0
8005,8301,0
9239,6381,0
3249,6036,0
4216,7232,0
7042,8782,0
2628,5439,0
5717,1718,0
1602,7957,0
6758,5189,0
7593,8781,0
2893,1126,0
5390,9026,0
9436,2668,0
8884,1950,0
6147,8904,0
9095,3746,0
5935,6389,0
2154,8674,0
2630,6397,0
7643,995,0
4617,2200,0
2350,4481,0
2843,8912,0
5045,8428,0
5112,7589,0
5584,3875,0
3106,3881,0
8609,2190,0
3183,7115,0
4892,2200,0
2353,5440,0
7793,6265,0
7930,6025,0
7371,2673,0
9235,4704,0
6073,6628,0
8617,5305,0
6763,7345,0
7317,8781,0
1670,7837,0
5177,6271,0
8278,7342,0
5462,10104,0
8957,3507,0
2966,2923,0
6063,2556,0
2494,6877,0
4830,4955,0
5027,1241,0
7234,2673,0
7788,4109,0
9236,5183,0
3459,7593,0
2619,1606,0
7507,1714,0
3595,6634,0
4209,4357,0
3874,8311,0
3039,4480,0
7726,7104,0
5787,2078,0
2768,6397,0
3652,1723,0
3461,8072,0
5926,2796,0
3452,4479,0
9102,6861,0
7045,9980,0
8132,4228,0
9093,3028,0
2912,9032,0
4908,8668,0
2972,5318,0
7644,1714,0
2086,8794,0
3379,2682,0
3999,2801,0
2289,7716,0
4289,9028,0
5393,9984,0
7930,5786,0
6130,1957,0
6135,3873,0
7656,6505,0
5719,2437,0
6817,997,0
6972,8423,0
9443,5303,0
6006,7467,0
7647,2911,0
1877,7956,0
6350,7346,0
4962,2798,0
6548,3872,0
2826,1965,0
4977,9027,0
5791,3754,0
7796,7463,0
7657,6984,0
4008,6633,0
4215,6753,0
4132,1123,0
4070,3878,0
5256,10224,0
7026,2075,0
6414,5310,0
9102,6621,0
4615,1482,0
5525,7588,0
4349,5555,0
7660,8182,0
7646,2432,0
3171,2323,0
7722,5187,0
4147,7352,0
8953,2070,0
5857,2916,0
5859,3395,0
7437,1355,0
4685,1841,0
2554,3163,0
3177,4479,0
2690,2684,0
4684,1601,0
3034,2563,0
9177,9136,0
1741,8436,0
5044,8188,0
3170,1605,0
7849,1114,0
6001,5311,0
3176,4240,0
6620,5190,0
3317,5677,0
6827,5309,0
8830,8059,0
4011,8071,0
7512,4110,0
6352,8065,0
6075,7347,0
3396,9869,0
8689,6862,0
2912,8792,0
6354,9023,0
7989,2072,0
3735,7832,0
6005,6988,0
6345,5190,0
6902,7824,0
5234,1360,0
4622,4356,0
8824,5664,0
7306,4230,0
9445,6021,0
3932,3879,0
4485,4596,0
2773,8553,0
7650,4109,0
3117,8193,0
6893,3991,0
7655,6265,0
4063,1004,0
4550,3278,0
3453,4958,0
8275,6384,0
3042,5917,0
